Experiment,Type,LIN,SI,CL,D,HI,PL,TI,PC,Macro Avg
peft_multi_label_base,Positive_F1,0.81,4.28,17.57,0.0,3.44,6.1,4.37,2.71,4.91
peft_multi_label_base,Negative_F1,94.21,92.09,80.63,92.27,93.3,79.25,84.73,88.07,88.07
peft_multi_label_base,Average_F1,47.51,48.19,49.1,46.14,48.37,42.68,44.55,45.39,46.49
peft_multi_label_base,Positive_Precision,0.48,2.43,10.92,0.0,1.82,3.49,2.54,1.47,2.89
peft_multi_label_base,Negative_Precision,98.7,97.92,94.89,99.68,99.44,95.29,96.39,98.38,97.59
peft_multi_label_base,Average_Precision,49.59,50.17,52.91,49.84,50.63,49.39,49.46,49.92,50.24
peft_multi_label_base,Positive_Recall,2.56,20.0,47.22,0.0,33.33,26.39,17.59,17.65,20.59
peft_multi_label_base,Negative_Recall,90.14,87.17,70.62,86.08,88.18,68.34,75.98,79.78,80.79
peft_multi_label_base,Average_Recall,46.35,53.58,58.92,43.04,60.76,47.36,46.78,48.71,50.69
peft_multi_label_base_asy,Positive_F1,0.0,1.61,18.9,0.0,0.87,3.31,1.54,3.15,3.67
peft_multi_label_base_asy,Negative_F1,97.55,97.44,90.8,96.43,97.33,93.95,94.62,96.44,95.57
peft_multi_label_base_asy,Average_F1,48.77,49.52,54.85,48.22,49.1,48.63,48.08,49.8,49.62
peft_multi_label_base_asy,Positive_Precision,0.0,1.15,14.52,0.0,0.48,2.51,1.07,2.04,2.72
peft_multi_label_base_asy,Negative_Precision,98.76,97.69,94.4,99.7,99.26,95.46,96.53,98.47,97.53
peft_multi_label_base_asy,Average_Precision,49.38,49.42,54.46,49.85,49.87,48.98,48.8,50.26,50.13
peft_multi_label_base_asy,Positive_Recall,0.0,2.67,27.31,0.0,4.17,4.86,2.78,7.84,6.2
peft_multi_label_base_asy,Negative_Recall,96.39,97.2,87.5,93.47,95.48,92.51,92.82,94.51,93.73
peft_multi_label_base_asy,Average_Recall,48.2,49.93,57.41,46.73,49.82,48.69,47.8,51.18,49.97
peft_multi_label_cpt,Positive_F1,0.0,6.22,17.39,0.0,2.28,7.23,2.06,0.7,4.49
peft_multi_label_cpt,Negative_F1,97.08,93.64,82.16,91.12,92.18,83.54,89.99,95.68,90.67
peft_multi_label_cpt,Average_F1,48.54,49.93,49.78,45.56,47.23,45.38,46.03,48.19,47.58
peft_multi_label_cpt,Positive_Precision,0.0,3.64,11.02,0.0,1.18,4.25,1.27,0.43,2.72
peft_multi_label_cpt,Negative_Precision,98.75,97.99,94.65,99.67,99.45,95.54,96.33,98.35,97.59
peft_multi_label_cpt,Average_Precision,49.37,50.81,52.83,49.83,50.31,49.9,48.8,49.39,50.16
peft_multi_label_cpt,Positive_Recall,0.0,21.33,43.06,0.0,33.33,25.0,6.48,1.96,16.39
peft_multi_label_cpt,Negative_Recall,95.49,89.78,72.92,84.66,86.32,74.41,84.91,93.16,85.21
peft_multi_label_cpt,Average_Recall,47.75,55.56,57.99,42.33,59.83,49.71,45.69,47.56,50.8
